Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,182/165,28/35,84/81,66/48,-,4/1
2024,37/27,0/1,19/14,18/12,-,-
2023,43/23,0/1,18/14,22/8,-,3/0
2022,23/29,-,17/22,6/7,-,-
2021,29/32,12/11,9/14,8/6,-,0/1
2020,15/17,4/8,9/8,1/1,-,1/0
2019,27/26,12/12,5/6,10/8,-,-
2018,7/5,0/1,7/3,0/1,-,-
2017,1/4,0/1,-,1/3,-,-
2016,0/1,-,-,0/1,-,-
2015,0/1,-,-,0/1,-,-
