Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,434/299,25/32,363/219,19/15,18/29,9/4
2024,15/19,0/5,9/10,-,3/4,3/0
2023,32/25,0/2,24/19,4/1,4/3,-
2022,41/26,4/5,34/15,1/2,0/3,2/1
2021,13/14,0/1,12/10,-,1/3,-
2020,9/7,-,9/7,-,-,-
2019,52/26,1/3,49/19,-,2/4,-
2018,32/24,0/1,29/18,2/2,0/1,1/2
2017,37/23,0/1,30/17,2/2,2/2,3/1
2016,35/31,0/2,32/25,-,3/4,-
2015,19/24,3/6,15/14,-,1/4,-
2014,64/22,16/3,43/18,5/1,-,-
2013,20/17,0/1,14/12,4/3,2/1,-
2012,23/17,-,22/14,1/3,-,-
2011,19/14,-,19/13,0/1,-,-
2010,18/8,1/2,17/6,-,-,-
2009,5/2,-,5/2,-,-,-
