Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,513/269,141/75,284/133,45/28,28/24,15/9
2024,30/18,9/6,16/9,-,4/2,1/1
2023,21/12,12/7,4/3,-,5/2,-
2022,5/8,-,5/8,-,-,-
2021,39/20,6/4,31/13,-,2/3,-
2020,26/13,11/4,9/5,0/3,2/0,4/1
2019,39/22,1/3,29/14,4/2,5/3,-
2018,44/15,9/3,28/10,5/0,2/2,-
2017,53/14,14/2,26/7,6/2,4/2,3/1
2016,46/23,6/4,34/15,5/2,1/2,-
2015,43/27,15/4,23/17,2/2,1/2,2/2
2014,40/25,9/7,24/14,2/1,2/2,3/1
2013,38/28,12/10,23/10,1/4,0/3,2/1
2012,35/18,16/6,14/5,5/4,0/1,0/2
2011,40/18,13/10,18/3,9/5,-,-
2010,8/4,6/3,-,2/1,-,-
2009,5/3,2/2,-,3/1,-,-
2008,1/1,-,-,1/1,-,-
