Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,129/84,105/62,24/22,-,-,-
2024,32/22,32/22,-,-,-,-
2023,49/28,47/25,2/3,-,-,-
2022,38/26,26/15,12/11,-,-,-
2021,10/8,-,10/8,-,-,-
