Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,271/174,249/154,22/20,-,-,-
2024,36/23,36/23,-,-,-,-
2023,25/12,22/10,3/2,-,-,-
2022,15/14,14/11,1/3,-,-,-
2021,4/11,4/9,0/2,-,-,-
2019,22/15,20/12,2/3,-,-,-
2018,11/12,9/11,2/1,-,-,-
2017,21/15,19/14,2/1,-,-,-
2016,35/23,34/21,1/2,-,-,-
2015,45/19,36/16,9/3,-,-,-
2014,24/12,22/9,2/3,-,-,-
2013,19/9,19/9,-,-,-,-
2012,14/9,14/9,-,-,-,-
