Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,123/137,65/83,35/29,23/25,-,-
2024,24/22,17/11,5/8,2/3,-,-
2023,36/34,21/21,5/4,10/9,-,-
2022,37/36,12/17,17/9,8/10,-,-
2021,19/20,11/11,8/8,0/1,-,-
2020,5/12,2/10,-,3/2,-,-
2019,0/5,0/5,-,-,-,-
2018,1/2,1/2,-,-,-,-
2017,1/5,1/5,-,-,-,-
2016,0/1,0/1,-,-,-,-
