Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Singh K.,2,,,,,,"['3', '6']","['3', '1', '6', '2']","['2', '0', '5', '3']",[],[],1.58
09.07.,Jones H.,1,,,,,,"['3', '1', '6', '2']",[],"['3', '4']",[],[],2.26
04.07.,Potenza L.,2,,,,,,[],"['3', '3', '6', '6']","['2', '1', '4', '1', '6', '3']",[],[],1.33
04.07.,Jones H.,1,,,,,,"['2', '0', '5', '1']","['2', '1', '6', '5']","['3', '5']",[],[],3.09
03.07.,Jones H.,2,,,,,,[],"['5', '3']","['1', '0']",[],[],2.47
03.07.,Braithwaite T.,1,,,,,,"['2', '0', '4', '0']",[],"['4', '4']",[],[],1.49
02.07.,Jones H.,2,,,,,,"['1', '1', '3', '1', '4', '2']","['1', '0', '4', '1', '6', '3']",[],[],[],-
02.07.,Dzhavakian Y.,0,,,,,,"['1', '0', '2', '3']","['2', '4']",[],[],[],-
25.06.,Walters M.,2,,,,,,"['1', '0', '5', '2']","['3', '2']",[],[],[],1.79
25.06.,Jones H.,0,,,,,,[],[],[],[],[],1.91
18.06.,Batista D.,2,,,,,,[],"['2', '0', '4', '2', '6', '2']","['4', '2', '5', '5']",[],[],3.81
18.06.,Jones H.,1,,,,,,"['2', '0', '4', '0']","['2', '3']","['3', '4', '5', '4']",[],[],1.23
13.06.,Loutit J.,2,,,,,,"['1', '0', '4', '3', '6', '3']","['3', '3', '5', '3', '6', '4']",[],[],[],1.31
13.06.,Jones H.,0,,,,,,"['2', '2']","['3', '2', '4', '5']",[],[],[],3.20
11.06.,Jones H.,2,,,,,,"['2', '0', '3', '1']","['1', '0', '3', '2', '6', '5']",[],[],[],1.06
11.06.,Bataljin L.,0,,,,,,"['1', '2', '3', '4']","['2', '2', '3', '3']",[],[],[],7.40
01.06.,Bouzige M.,2,,,,,,11,4,62%,73% (41/56),50% (17/34),67% (4/6),29% (16/56),57% (21/37),36% (4/11),64% (58/90),40% (37/93),52% (95/183),5,0,86% (12/14),29% (4/14),57% (16/28),"['2', '1', '5', '2']","['1', '0']","['4', '3']",[],[],1.34
01.06.,Jones H.,1,,,,,,5,6,60%,71% (40/56),43% (16/37),64% (7/11),27% (15/56),50% (17/34),33% (2/6),60% (56/93),36% (32/90),48% (88/183),5,0,71% (10/14),14% (2/14),43% (12/28),[],"['3', '3', '6', '4']",[],[],[],3.10
27.05.,Takahashi Y.,2,,,,,,4,4,47%,82% (18/22),44% (11/25),0% (0/2),45% (13/29),63% (19/30),55% (6/11),62% (29/47),54% (32/59),58% (61/106),5,0,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '6', '3']","['2', '0', '4', '0', '6', '2']",[],[],[],1.30
27.05.,Jones H.,0,,,,,,2,7,49%,55% (16/29),37% (11/30),45% (5/11),18% (4/22),56% (14/25),100% (2/2),46% (27/59),38% (18/47),42% (45/106),5,0,33% (3/9),25% (2/8),29% (5/17),"['3', '5']","['2', '5']",[],[],[],3.27
27.04.,Ilagan A.,2,,,,,,3,2,50%,82% (18/22),55% (12/22),100% (1/1),27% (6/22),72% (28/39),26% (5/19),68% (30/44),56% (34/61),61% (64/105),6,0,100% (7/7),71% (5/7),86% (12/14),"['3', '1', '5', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.31
27.04.,Jones H.,0,,,,,,1,10,36%,73% (16/22),28% (11/39),74% (14/19),18% (4/22),45% (10/22),0% (0/1),44% (27/61),32% (14/44),39% (41/105),4,4,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],3.26
