Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/22,0/4,10/16,-,2/2,-
2024,3/8,0/1,1/5,-,2/2,-
2023,3/8,0/3,3/5,-,-,-
2022,2/4,-,2/4,-,-,-
2021,4/2,-,4/2,-,-,-
