Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,452/264,104/66,259/131,46/31,34/31,9/5
2024,25/22,6/5,15/12,1/1,3/4,-
2023,32/22,7/4,24/16,-,1/2,-
2022,29/23,4/3,18/13,3/2,4/4,0/1
2021,32/19,9/5,20/10,1/1,2/3,-
2020,35/14,9/4,17/7,6/2,-,3/1
2019,35/27,4/6,22/13,2/2,7/4,0/2
2018,48/22,14/2,26/13,1/2,4/4,3/1
2017,45/25,13/6,20/12,8/3,1/4,3/0
2016,46/29,4/7,21/11,12/8,9/3,-
2015,41/26,26/14,10/5,2/4,3/3,-
2014,52/25,8/5,39/15,5/5,-,-
2013,29/6,0/3,24/3,5/0,-,-
2012,3/1,-,3/1,-,-,-
2010,0/3,0/2,-,0/1,-,-
