Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,317/237,128/119,179/100,5/13,-,5/5
2024,31/28,12/16,15/10,3/2,-,1/0
2023,48/34,23/22,23/9,0/2,-,2/1
2022,44/29,37/25,7/2,0/1,-,0/1
2021,43/24,4/6,38/17,1/1,-,-
2020,20/14,-,20/14,-,-,-
2019,7/15,6/7,1/8,-,-,-
2018,48/30,10/10,38/14,0/4,-,0/2
2017,39/29,21/17,15/9,1/3,-,2/0
2016,19/21,10/13,9/7,-,-,0/1
2015,15/11,5/3,10/8,-,-,-
2014,3/2,-,3/2,-,-,-
