Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,55/47,-,27/19,27/26,1/2,-
2024,3/8,-,2/3,1/5,-,-
2023,35/24,-,12/9,22/13,1/2,-
2022,16/9,-,13/7,3/2,-,-
2017,0/1,-,-,0/1,-,-
2016,1/4,-,-,1/4,-,-
2015,0/1,-,-,0/1,-,-
