Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
27.08. 17:05,Cecchinato M.,0,4,1,,,,2,11,54%,67% (29/43),31% (11/36),67% (8/12),0 km/h,0 km/h,17% (4/24),24% (4/17),0% (0/1),51% (40/79),20% (8/41),40% (48/120),3,2,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],2.14
27.08. 17:05,Buse I.,2,6,6,,,,3,0,59%,83% (20/24),76% (13/17),100% (1/1),0 km/h,0 km/h,33% (14/43),69% (25/36),33% (4/12),80% (33/41),49% (39/79),60% (72/120),7,0,100% (8/8),44% (4/9),71% (12/17),"['1', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.67
CHALLENGER MEN - SINGLES :  Bonn (Germany),clay,header
08.08. 21:00,Cecchinato M.,0,4,1,,,,4,7,54%,58% (18/31),35% (9/26),50% (5/10),0 km/h,0 km/h,30% (8/27),43% (12/28),25% (1/4),47% (27/57),36% (20/55),42% (47/112),3,2,44% (4/9),13% (1/8),29% (5/17),"['1', '1']",[],[],[],[],1.73
08.08. 21:00,Landaluce M.,2,6,6,,,,3,0,49%,70% (19/27),57% (16/28),75% (3/4),0 km/h,0 km/h,42% (13/31),65% (17/26),50% (5/10),64% (35/55),53% (30/57),58% (65/112),7,0,88% (7/8),56% (5/9),71% (12/17),"['1', '0', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],[],1.86
