Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,564/411,500/302,28/66,33/34,2/9,1/0
2024,28/26,28/24,0/2,-,-,-
2023,14/26,13/20,1/4,-,0/2,-
2022,43/34,43/31,0/3,-,-,-
2021,34/27,33/19,1/5,0/2,0/1,-
2020,25/17,22/11,1/4,2/2,-,-
2019,20/28,15/13,5/12,-,0/3,-
2018,44/30,37/15,3/8,2/5,2/2,-
2017,60/33,58/27,0/3,2/2,0/1,-
2016,28/25,27/19,0/4,0/2,-,1/0
2015,62/30,53/21,7/8,2/1,-,-
2014,52/30,44/20,2/3,6/7,-,-
2013,51/30,36/18,5/3,10/9,-,-
2012,39/25,37/21,0/2,2/2,-,-
2011,48/30,38/24,3/4,7/2,-,-
2010,14/16,14/15,0/1,-,-,-
2009,2/4,2/4,-,-,-,-
