Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Cali (Colombia),clay,header
17.09. 23:50,Prado Angelo J. C.,0,3,1,,,,1,6,43%,64% (16/25),42% (14/33),20% (1/5),27% (7/26),38% (11/29),0% (0/3),4,52% (30/58),33% (18/55),42% (48/113),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.80
17.09. 23:50,Torres J. B.,2,6,6,,,,0,1,47%,73% (19/26),62% (18/29),100% (3/3),36% (9/25),58% (19/33),80% (4/5),5,67% (37/55),48% (28/58),58% (65/113),6,100% (8/8),50% (4/8),75% (12/16),"['2', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.41
ITF MEN - SINGLES :  M25 Belem (Brazil),hard,header
25.08. 20:10,Prado Angelo J. C.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0', '4', '2', '6', '4']","['1', '1', '4', '2']",[],[],[],1.53
25.08. 20:10,Ribeiro E.,0,4,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '3', '3', '4']","['1', '0']",[],[],[],2.39
24.08. 21:50,Prado Angelo J. C.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '2']","['2', '1', '4', '3', '6', '3']",[],[],[],1.66
24.08. 21:50,Pereira J.,0,4,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '2']",[],[],[],2.13
24.08. 03:50,Prado Angelo J. C.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['3', '1']","['3', '2', '5', '2', '6', '5']",[],[],[],1.12
24.08. 03:50,Kohlmann E.,0,3,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['3', '5', '5', '5']",[],[],[],5.67
23.08. 02:45,Prado Angelo J. C.,2,7^7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['2', '0', '4', '0']",[],[],[],1.04
