Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES Cordenons (Italy) - Qualification,clay,header
04.08.,Prado Angelo J. C.,2,,,,,,1,1,63%,72% (26/36),48% (10/21),100% (2/2),56% (19/34),61% (11/18),83% (5/6),27,18,80% (8/10),63% (36/57),56% (29/52),60% (65/109),8,0,100% (7/7),63% (5/8),80% (12/15),[],[],[],[],[],0
04.08.,De Krom M.,0,,,,,,1,2,65%,47% (16/34),39% (7/18),17% (1/6),28% (10/36),52% (11/21),0% (0/2),8,17,46% (6/13),44% (23/52),37% (21/57),40% (44/109),2,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],0
03.08.,Prado Angelo J. C.,0,,,,,,0,2,43%,78% (7/9),58% (7/12),100% (1/1),50% (11/22),67% (6/9),50% (2/4),3,10,50% (1/2),67% (14/21),55% (17/31),60% (31/52),8,0,100% (3/3),67% (2/3),83% (5/6),[],[],[],[],[],0
03.08.,Fondriest M.,0,,,,,,0,2,71%,50% (11/22),33% (3/9),50% (2/4),22% (2/9),42% (5/12),0% (0/1),3,13,75% (3/4),45% (14/31),33% (7/21),40% (21/52),2,0,33% (1/3),0% (0/3),17% (1/6),[],[],[],[],[],0
ITF MEN - SINGLES M25 Bolzano (Italy),clay,header
ATP - SINGLES Kitzbuhel (Austria) - Qualification,clay,header
19.07.,Prado Angelo J. C.,0,,,,,,1,2,66%,69% (20/29),27% (4/15),25% (1/4),17% (6/36),48% (12/25),0% (0/4),8,27,100% (4/4),55% (24/44),30% (18/61),40% (42/105),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
19.07.,Martin A.,2,,,,,,2,6,59%,83% (30/36),52% (13/25),100% (4/4),31% (9/29),73% (11/15),75% (3/4),21,27,75% (9/12),70% (43/61),45% (20/44),60% (63/105),5,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Marino (San Marino) - Qualification,clay,header
14.07.,Prado Angelo J. C.,0,,,,,,0,0,73%,51% (23/45),65% (11/17),50% (3/6),24% (9/38),42% (11/26),0% (0/8),11,16,60% (3/5),55% (34/62),31% (20/64),43% (54/126),4,1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],0
14.07.,Berankis R.,2,,,,,,1,1,59%,76% (29/38),58% (15/26),100% (8/8),49% (22/45),35% (6/17),50% (3/6),28,34,92% (12/13),69% (44/64),45% (28/62),57% (72/126),6,0,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],0
13.07.,Prado Angelo J. C.,2,,,,,,0,3,68%,56% (36/64),67% (20/30),79% (11/14),43% (26/61),46% (11/24),44% (4/9),23,37,76% (13/17),60% (56/94),44% (37/85),52% (93/179),5,0,77% (10/13),31% (4/13),54% (14/26),[],[],[],[],[],0
13.07.,Sakellaridis S.,1,,,,,,2,1,72%,57% (35/61),54% (13/24),56% (5/9),44% (28/64),33% (10/30),21% (3/14),24,37,63% (10/16),56% (48/85),40% (38/94),48% (86/179),5,1,69% (9/13),23% (3/13),46% (12/26),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Trieste (Italy) - Qualification,clay,header
06.07.,Prado Angelo J. C.,1,,,,,,0,2,67%,52% (32/62),70% (21/30),50% (5/10),38% (25/66),60% (24/40),46% (6/13),21,44,88% (7/8),58% (53/92),46% (49/106),52% (102/198),3,1,64% (9/14),40% (6/15),52% (15/29),[],[],[],[],[],0
06.07.,Picchione A.,2,,,,,,0,6,62%,62% (41/66),40% (16/40),54% (7/13),48% (30/62),30% (9/30),50% (5/10),26,53,67% (6/9),54% (57/106),42% (39/92),48% (96/198),7,0,60% (9/15),36% (5/14),48% (14/29),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Lima (Peru),clay,header
29.06.,Prado Angelo J. C.,2,,,,,,0,0,88%,65% (37/57),63% (5/8),33% (1/3),42% (24/57),54% (14/26),36% (4/11),65% (42/65),46% (38/83),54% (80/148),8,0,82% (9/11),36% (4/11),59% (13/22),[],[],[],[],[],0
29.06.,Bueno G.,0,,,,,,0,3,69%,58% (33/57),46% (12/26),64% (7/11),35% (20/57),38% (3/8),67% (2/3),54% (45/83),35% (23/65),46% (68/148),2,1,64% (7/11),18% (2/11),41% (9/22),[],[],[],[],[],0
28.06.,Prado Angelo J. C.,2,,,,,,0,0,77%,62% (23/37),73% (8/11),75% (6/8),43% (16/37),78% (18/23),67% (6/9),65% (31/48),57% (34/60),60% (65/108),9,0,75% (6/8),67% (6/9),71% (12/17),[],[],[],[],[],0
28.06.,Boscardin Dias P.,0,,,,,,2,3,62%,57% (21/37),22% (5/23),33% (3/9),38% (14/37),27% (3/11),25% (2/8),43% (26/60),35% (17/48),40% (43/108),1,0,33% (3/9),25% (2/8),29% (5/17),[],[],[],[],[],0
27.06.,Prado Angelo J. C.,2,,,,,,0,0,71%,71% (24/34),71% (10/14),50% (2/4),59% (22/37),47% (7/15),71% (5/7),71% (34/48),56% (29/52),63% (63/100),6,0,78% (7/9),63% (5/8),71% (12/17),[],[],[],[],[],0
27.06.,Mejia N.,0,,,,,,0,2,71%,41% (15/37),53% (8/15),29% (2/7),29% (10/34),29% (4/14),50% (2/4),44% (23/52),29% (14/48),37% (37/100),4,0,38% (3/8),22% (2/9),29% (5/17),[],[],[],[],[],0
25.06.,Prado Angelo J. C.,2,,,,,,2,1,72%,73% (46/63),50% (12/24),50% (3/6),36% (20/56),53% (20/38),45% (5/11),67% (58/87),43% (40/94),54% (98/181),5,0,80% (12/15),33% (5/15),57% (17/30),[],[],[],[],[],0
25.06.,Jones M.,1,,,,,,1,4,60%,64% (36/56),47% (18/38),55% (6/11),27% (17/63),50% (12/24),50% (3/6),57% (54/94),33% (29/87),46% (83/181),5,1,67% (10/15),20% (3/15),43% (13/30),[],[],[],[],[],0
24.06.,Prado Angelo J. C.,2,,,,,,2,0,73%,70% (37/53),50% (10/20),40% (2/5),46% (27/59),60% (12/20),46% (6/13),64% (47/73),49% (39/79),57% (86/152),7,0,77% (10/13),50% (6/12),64% (16/25),[],[],[],[],[],0
24.06.,Li C.,1,,,,,,0,3,75%,54% (32/59),40% (8/20),54% (7/13),30% (16/53),50% (10/20),60% (3/5),51% (40/79),36% (26/73),43% (66/152),3,1,50% (6/12),23% (3/13),36% (9/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Santa Cruz (Bolivia),clay,header
19.06.,Prado Angelo J. C.,1,,,,,,1,1,61%,53% (46/86),49% (27/55),63% (10/16),39% (35/89),57% (20/35),36% (4/11),52% (73/141),44% (55/124),48% (128/265),5,7,63% (10/16),25% (4/16),44% (14/32),[],[],[],[],[],0
19.06.,Roncadelli F.,2,,,,,,0,1,72%,61% (54/89),43% (15/35),64% (7/11),47% (40/86),51% (28/55),38% (6/16),56% (69/124),48% (68/141),52% (137/265),5,0,75% (12/16),38% (6/16),56% (18/32),[],[],[],[],[],0
18.06.,Prado Angelo J. C.,2,,,,,,2,2,75%,63% (50/79),52% (14/27),64% (7/11),43% (34/80),65% (17/26),58% (7/12),60% (64/106),48% (51/106),54% (115/212),7,0,73% (11/15),47% (7/15),60% (18/30),[],[],[],[],[],0
18.06.,Bueno G.,1,,,,,,1,3,75%,57% (46/80),35% (9/26),42% (5/12),37% (29/79),48% (13/27),36% (4/11),52% (55/106),40% (42/106),46% (97/212),3,1,53% (8/15),27% (4/15),40% (12/30),[],[],[],[],[],0
ATP - SINGLES Davis Cup - Group III (World) - Play Offs,-,header
14.06.,Prado Angelo J. C.,2,,,,,,[],[],[],[],[],0
14.06.,Hotze L.,0,,,,,,[],[],[],[],[],0
ATP - SINGLES Davis Cup - Group III (World),-,header
12.06.,Prado Angelo J. C.,2,,,,,,[],[],[],[],[],0
12.06.,Quiros S.,0,,,,,,[],[],[],[],[],0
11.06.,Prado Angelo J. C.,2,,,,,,[],[],[],[],[],0
11.06.,Frankel K.,0,,,,,,[],[],[],[],[],0
