Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/46,60/42,6/1,-,-,4/3
2024,29/19,22/18,6/1,-,-,1/0
2023,29/18,26/15,-,-,-,3/3
2022,12/8,12/8,-,-,-,-
2021,0/1,0/1,-,-,-,-
