Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,114/146,98/116,7/16,-,-,9/14
2024,31/25,28/15,1/7,-,-,2/3
2023,22/31,12/19,4/5,-,-,6/7
2022,31/31,30/27,-,-,-,1/4
2021,11/14,11/14,-,-,-,-
2020,2/7,0/3,2/4,-,-,-
2019,2/5,2/5,-,-,-,-
2018,5/8,5/8,-,-,-,-
2017,6/12,6/12,-,-,-,-
2016,4/9,4/9,-,-,-,-
2015,0/4,0/4,-,-,-,-
