Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,494/359,91/72,282/186,106/83,15/18,-
2024,13/18,-,8/13,5/5,-,-
2023,52/29,0/1,51/27,1/1,-,-
2022,30/22,0/2,25/16,5/4,-,-
2021,23/21,0/3,21/13,2/3,0/2,-
2020,3/12,0/2,1/4,2/6,-,-
2019,40/28,-,30/19,8/6,2/3,-
2018,27/25,-,14/18,10/4,3/3,-
2017,36/25,-,20/15,12/8,4/2,-
2016,42/16,7/5,31/9,4/2,-,-
2015,8/6,0/3,6/2,2/1,-,-
2014,42/25,18/9,18/11,6/5,-,-
2013,9/18,1/4,6/8,2/6,-,-
2012,23/27,8/10,11/9,1/5,3/3,-
2011,35/22,9/6,14/8,9/5,3/3,-
2010,28/25,11/8,4/7,13/8,0/2,-
2009,39/23,16/9,10/3,13/11,-,-
2008,31/11,11/5,9/3,11/3,-,-
2007,13/5,10/4,3/1,-,-,-
2006,0/1,0/1,-,-,-,-
