Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/23,18/14,3/7,-,-,7/2
2024,18/12,11/6,3/6,-,-,4/0
2023,4/4,4/4,-,-,-,-
2022,4/4,1/1,0/1,-,-,3/2
2021,2/3,2/3,-,-,-,-
