Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/59,13/20,26/15,-,-,14/24
2024,11/13,4/9,7/4,-,-,-
2023,25/20,9/9,10/5,-,-,6/6
2022,15/24,0/2,7/4,-,-,8/18
2021,2/2,-,2/2,-,-,-
