Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.06.,Bastiaansen P.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '5']","['1', '0', '2', '3', '3', '4']","['1', '0', '3', '0', '5', '0']",[],[],1.18
24.06.,Van Zijl T.,1,,,,,,"['1', '1', '3', '5', '5', '5']","['1', '1', '3', '1', '4', '2', '6', '4']",[],[],[],4.54
25.03.,Smith K.,2,,,,,,"['1', '0', '3', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.04
25.03.,Van Zijl T.,0,,,,,,[],[],[],[],[],8.10
06.08.2024,Hjorth P.,2,,,,,,"['2', '0', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.37
06.08.2024,Van Zijl T.,0,,,,,,"['2', '5']",[],[],[],[],2.99
17.01.2024,Juan Mano A.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['4', '2', '6', '2']",[],[],[],1.50
17.01.2024,Van Zijl T.,0,,,,,,"['3', '5']",[],[],[],[],2.47
29.11.2023,Sorger S.,2,,,,,,[],[],[],[],[],1.18
29.11.2023,Van Zijl T.,0,,,,,,[],[],[],[],[],4.43
22.11.2023,Timini A.,2,,,,,,[],[],[],[],[],3.48
22.11.2023,Van Zijl T.,1,,,,,,[],[],[],[],[],1.27
