Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Giustino L.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2', '6', '3']",[],[],[],1.02
26.08.,Garcia Mestre J.,0,,,,,,[],"['1', '1', '3', '5']",[],[],[],10.20
19.08.,Sanchez Jover C.,2,,,,,,"['1', '0', '2', '1', '6', '3']","['6', '4']",[],[],[],1.02
19.08.,Garcia Mestre J.,0,,,,,,"['1', '1']",[],[],[],[],15.00
28.05.,Compagnucci T.,2,,,,,,"['2', '0', '4', '0', '5', '1', '6', '2']","['2', '4', '3', '5']","['1', '2', '3', '2', '4', '3', '6', '3']",[],[],1.09
28.05.,Garcia Mestre J.,1,,,,,,"['1', '4', '2', '5']","['2', '1', '4', '1', '5', '2', '6', '3']","['2', '0', '3', '3']",[],[],6.05
21.05.,Braynin A.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '2', '1', '3', '2', '5', '4']",[],[],[],1.13
21.05.,Garcia Mestre J.,0,,,,,,[],"['1', '1', '2', '2', '4', '4']",[],[],[],5.15
02.04.,Gutierrez O. J.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '3', '2', '5', '2']",[],[],[],1.03
02.04.,Garcia Mestre J.,0,,,,,,"['2', '5']","['2', '2']",[],[],[],8.80
23.10.2024,Dinev D.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],[],2.16
23.10.2024,Garcia Mestre J.,0,,,,,,[],[],[],[],[],1.63
16.10.2024,Dubrivnyy A.,2,,,,,,"['2', '1', '4', '1', '5', '2']","['3', '4', '5', '4']",[],[],[],1.10
16.10.2024,Garcia Mestre J.,0,,,,,,"['2', '4']","['4', '2']",[],[],[],6.01
20.09.2024,Sanchez Quilez A.,2,,,,,,"['1', '1', '2', '2', '3', '3', '7', '5']","['1', '1', '3', '1', '4', '2']",[],[],[],1.06
20.09.2024,Garcia Mestre J.,0,,,,,,"['1', '0', '2', '1', '3', '2']","['1', '0', '2', '3']",[],[],[],8.25
18.09.2024,Lavizzari M.,1,,,,,,"['2', '0', '3', '1', '5', '3']",[],"['3', '2']",[],[],2.34
18.09.2024,Garcia Mestre J.,1,,,,,,"['1', '2', '2', '3']","['2', '0', '6', '2']","['3', '3']",[],[],1.55
12.09.2024,Marrero Curbelo I.,2,,,,,,"['3', '1', '6', '2']","['2', '0']",[],[],[],1.08
