Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Fernandez B.,2,,,,,,"['1', '0']","['5', '4']",[],[],[],1.77
26.08.,Ribero F.,0,,,,,,[],[],[],[],[],1.94
11.07.,Xilas I.,2,,,,,,"['2', '0', '6', '2']","['6', '4']",[],[],[],1.40
11.07.,Ribero F.,0,,,,,,[],[],[],[],[],2.77
11.07.,Ribero F.,2,,,,,,"['1', '2', '6', '5']","['2', '1']",[],[],[],-
11.07.,Pisaric A.,0,,,,,,"['2', '0']",[],[],[],[],-
08.07.,Ribero F.,2,,,,,,"['1', '0', '3', '0', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],3.72
08.07.,Haliak M.,0,,,,,,"['2', '4', '4', '4']",[],[],[],[],1.24
03.07.,De Krom M.,2,,,,,,"['2', '0', '6', '6']","['1', '0', '2', '1']",[],[],[],1.13
03.07.,Ribero F.,0,,,,,,"['1', '2', '6', '5']","['1', '1', '3', '3']",[],[],[],5.10
01.07.,Ribero F.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.02
01.07.,Bayo J.,0,,,,,,[],"['1', '0']",[],[],[],9.90
24.06.,Kielan S.,2,,,,,,"['2', '5', '4', '5']","['2', '1', '4', '1', '6', '1']","['4', '2']",[],[],2.33
24.06.,Ribero F.,1,,,,,,"['2', '0', '4', '0', '6', '4']",[],[],[],[],1.55
17.06.,Gutierrez O. J.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.33
17.06.,Ribero F.,0,,,,,,[],"['1', '5']",[],[],[],3.09
08.06.,Sperle J.,2,,,,,,5,0,78%,81% (29/36),70% (7/10),0% (0/0),36% (21/58),58% (14/24),38% (3/8),78% (36/46),43% (35/82),55% (71/128),8,0,100% (9/9),30% (3/10),63% (12/19),"['3', '2']","['1', '0', '6', '3']",[],[],[],1.30
