Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,379/253,146/93,94/76,121/63,16/18,2/3
2024,3/8,0/2,0/3,3/2,-,0/1
2023,35/29,13/9,8/9,13/7,0/2,1/2
2022,35/29,13/10,7/9,13/8,1/2,1/0
2021,21/24,12/9,3/6,5/7,1/2,-
2020,16/16,6/6,3/5,7/5,-,-
2019,29/18,10/8,13/5,4/2,2/3,-
2018,7/5,-,5/3,2/2,-,-
2017,12/4,-,-,12/4,-,-
2016,24/19,6/6,13/9,-,5/4,-
2015,29/26,9/8,2/9,12/7,6/2,-
2014,32/23,6/8,14/9,12/4,0/2,-
2013,51/24,13/10,15/5,22/8,1/1,-
2012,56/14,34/5,10/3,12/6,-,-
2011,29/14,24/12,1/1,4/1,-,-
