Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Shin S.,2,,,,,,1,2,52%,68% (30/44),55% (22/40),64% (7/11),35% (15/43),57% (21/37),45% (5/11),62% (52/84),45% (36/80),54% (88/164),7,0,67% (8/12),42% (5/12),54% (13/24),"['1', '0', '6', '5']","['2', '1', '4', '3', '6', '5']",[],[],[],1.62
26.08.,Shin W.,0,,,,,,9,5,54%,65% (28/43),43% (16/37),55% (6/11),32% (14/44),45% (18/40),36% (4/11),55% (44/80),38% (32/84),46% (76/164),3,2,58% (7/12),33% (4/12),46% (11/24),"['2', '2']","['2', '2', '5', '5', '6', '6']",[],[],[],2.31
22.08.,Tokuda R.,2,,,,,,"['2', '0', '4', '0']",[],"['1', '2', '3', '2', '6', '5']",[],[],1.45
22.08.,Shin W.,1,,,,,,[],"['7', '5']","['2', '0', '4', '4']",[],[],2.59
21.08.,Shin W.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '3', '5', '3']",[],[],[],1.02
21.08.,Nakamura R.,0,,,,,,[],"['3', '2']",[],[],[],10.20
20.08.,Shin W.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],1.07
20.08.,Chen Y. C.,0,,,,,,[],[],[],[],[],7.48
16.08.,Zhang T.,2,,,,,,[],"['1', '0', '6', '3']",[],[],[],20.5
16.08.,Shin W.,0,,,,,,[],[],[],[],[],1.60
15.08.,Shin W.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '5', '2']",[],[],[],1.61
15.08.,Nidunjianzan F.,0,,,,,,[],"['3', '5']",[],[],[],20.5
14.08.,Shin W.,2,,,,,,"['4', '2']","['2', '1', '5', '2']",[],[],[],1.66
14.08.,Zeng Y.,0,,,,,,[],[],[],[],[],21.0
12.08.,Shin W.,2,,,,,,"['2', '0', '6', '2']","['6', '4']",[],[],[],1.83
12.08.,Sarksian D.,0,,,,,,[],[],[],[],[],20.0
31.07.,Shin W.,1,,,,,,1,1,63%,56% (22/39),52% (12/23),56% (5/9),44% (17/39),50% (16/32),40% (4/10),1,1,55% (34/62),46% (33/71),50% (67/133),3,0,56% (5/9),40% (4/10),47% (9/19),"['1', '0', '2', '1', '4', '3', '5', '4']",[],[],[],[],3.33
31.07.,Shelbayh A.,1,,,,,,5,3,55%,56% (22/39),50% (16/32),60% (6/10),44% (17/39),48% (11/23),44% (4/9),5,3,54% (38/71),45% (28/62),50% (66/133),7,0,60% (6/10),44% (4/9),53% (10/19),"['1', '1', '3', '3', '4', '4']","['3', '1']",[],[],[],1.30
29.07.,Shin W.,2,,,,,,3,1,48%,71% (22/31),61% (20/33),80% (4/5),27% (12/45),63% (19/30),44% (4/9),66% (42/64),41% (31/75),53% (73/139),8,0,90% (9/10),36% (4/11),62% (13/21),"['2', '1', '6', '3']","['3', '1', '7', '5']",[],[],[],2.09
29.07.,Azkara A.,0,,,,,,5,2,60%,73% (33/45),37% (11/30),56% (5/9),29% (9/31),39% (13/33),20% (1/5),59% (44/75),34% (22/64),47% (66/139),2,2,64% (7/11),10% (1/10),38% (8/21),[],"['3', '4']",[],[],[],1.69
12.07.,Tokuda R.,2,,,,,,"['1', '0', '4', '3']","['2', '1', '4', '1']",[],[],[],1.40
12.07.,Shin W.,0,,,,,,"['1', '1']",[],[],[],[],2.77
11.07.,Shin W.,2,,,,,,"['3', '1', '5', '1']","['2', '1']",[],[],[],1.81
11.07.,Kusuhara Y.,0,,,,,,[],[],[],[],[],1.89
10.07.,Shin W.,2,,,,,,"['5', '5']","['1', '0', '5', '4']",[],[],[],1.63
10.07.,Kikuchi Y.,0,,,,,,"['2', '1']","['1', '1']",[],[],[],2.16
08.07.,Shin W.,2,,,,,,"['1', '0']","['4', '3']",[],[],[],1.19
08.07.,Delaney Je.,0,,,,,,[],[],[],[],[],4.31
05.07.,Tokuda R.,2,,,,,,[],"['1', '0', '4', '1', '6', '3']",[],[],[],1.55
05.07.,Shin W.,0,,,,,,[],"['2', '4']",[],[],[],2.33
04.07.,Shin W.,2,,,,,,"['1', '0']","['2', '0', '5', '1']",[],[],[],-
04.07.,Kirci K.,0,,,,,,"['1', '1']",[],[],[],[],-
03.07.,Shin W.,2,,,,,,[],"['3', '2', '6', '3']",[],[],[],1.43
03.07.,Nakagawa S.,0,,,,,,[],[],[],[],[],2.66
02.07.,Shin W.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1']",[],[],[],1.41
02.07.,Ochi M.,0,,,,,,"['3', '5']",[],[],[],[],2.73
20.06.,Castelnuovo L.,1,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],[],1.87
20.06.,Shin W.,0,,,,,,[],[],[],[],[],1.83
19.06.,Shin W.,2,,,,,,[],"['3', '1']",[],[],[],1.68
19.06.,Trongcharoenchaikul W.,1,,,,,,[],[],[],[],[],2.06
18.06.,Shin W.,2,,,,,,[],"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],1.17
18.06.,Lomakin G.,1,,,,,,"['2', '0']","['2', '5']",[],[],[],4.38
11.06.,Mo Y. C.,2,,,,,,"['2', '0']","['1', '0', '3', '0']",[],[],[],2.42
11.06.,Shin W.,0,,,,,,[],[],[],[],[],1.51
06.06.,Kwon S.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['5', '3']",[],[],[],1.09
06.06.,Shin W.,0,,,,,,[],[],[],[],[],6.15
05.06.,Shin W.,2,,,,,,"['1', '1', '6', '4']","['2', '0', '4', '4', '5', '5']",[],[],[],2.81
05.06.,Tokuda R.,0,,,,,,"['1', '0']","['1', '2', '4', '3', '5', '4']",[],[],[],1.39
04.06.,Shin W.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],-
04.06.,Kang J.,0,,,,,,[],"['1', '1']",[],[],[],-
