Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,507/431,196/148,204/177,78/78,22/25,7/3
2024,44/26,31/17,5/5,8/4,-,-
2023,4/19,0/5,1/8,3/6,-,-
2022,17/32,6/10,3/11,4/7,4/4,-
2021,35/27,8/8,18/11,3/5,6/3,-
2020,4/16,0/6,3/6,0/4,-,1/0
2019,29/24,11/6,15/10,2/5,1/3,-
2018,38/31,18/10,13/10,3/4,4/5,0/2
2017,35/35,9/11,11/14,10/6,1/4,4/0
2016,43/32,19/9,10/11,11/8,1/3,2/1
2015,36/26,11/9,15/8,5/7,5/2,-
2014,43/28,7/11,18/6,18/10,0/1,-
2013,31/28,13/11,14/13,4/4,-,-
2012,54/21,37/12,15/6,2/3,-,-
2011,18/24,11/10,7/14,-,-,-
2010,19/25,0/4,17/19,2/2,-,-
2009,43/29,14/8,26/19,3/2,-,-
2008,13/7,-,13/6,0/1,-,-
2007,1/1,1/1,-,-,-,-
