Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,89/50,65/37,24/13,-,-,-
2024,45/21,31/16,14/5,-,-,-
2023,40/24,32/18,8/6,-,-,-
2022,4/3,2/1,2/2,-,-,-
2020,0/2,0/2,-,-,-,-
