Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,76/38,63/30,1/3,-,-,12/5
2024,24/13,19/9,1/1,-,-,4/3
2023,23/11,19/11,-,-,-,4/0
2022,8/4,4/2,-,-,-,4/2
2021,13/7,13/5,0/2,-,-,-
2020,8/3,8/3,-,-,-,-
