Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,13/13,-,12/13,-,-,1/0
2024,8/6,-,8/6,-,-,-
2023,1/3,-,0/3,-,-,1/0
2018,0/1,-,0/1,-,-,-
2017,4/3,-,4/3,-,-,-
