Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,62/43,22/19,32/17,6/6,-,2/1
2024,26/14,3/5,21/6,2/2,-,0/1
2023,22/20,18/11,2/7,0/2,-,2/0
2022,13/8,1/3,9/4,3/1,-,-
2021,1/1,-,-,1/1,-,-
