Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,308/231,117/96,167/92,21/39,3/4,-
2024,27/8,-,27/8,-,-,-
2023,24/24,18/14,5/7,1/3,-,-
2022,35/29,1/5,32/16,0/5,2/3,-
2021,34/24,13/11,20/11,1/2,-,-
2020,13/20,6/8,6/10,1/2,-,-
2019,43/33,33/20,4/5,6/8,-,-
2018,24/29,8/13,11/8,5/8,-,-
2017,45/25,25/14,18/8,1/2,1/1,-
2016,30/16,10/4,15/8,5/4,-,-
2015,24/16,3/6,20/6,1/4,-,-
2014,3/4,0/1,3/3,-,-,-
2013,6/3,-,6/2,0/1,-,-
