Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,349/333,164/144,134/114,42/65,9/10,-
2024,24/19,4/4,20/14,0/1,-,-
2023,32/29,8/8,10/9,12/10,2/2,-
2022,22/23,13/13,4/5,3/3,2/2,-
2021,33/19,28/16,5/3,-,-,-
2020,5/23,-,3/2,2/21,-,-
2019,22/27,15/18,6/8,1/1,-,-
2018,32/17,23/15,9/2,-,-,-
2017,35/23,21/17,14/6,-,-,-
2016,20/24,17/13,3/10,0/1,-,-
2015,23/21,5/3,18/15,0/2,0/1,-
2014,28/28,9/8,13/11,6/9,-,-
2013,33/26,13/10,9/8,11/8,-,-
2012,13/27,4/14,5/8,4/5,-,-
2011,17/17,3/4,13/10,-,1/3,-
2010,10/10,1/1,2/3,3/4,4/2,-
