Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,452/337,234/150,112/94,62/57,33/25,11/11
2024,8/22,7/12,0/6,0/3,1/1,-
2023,12/15,4/7,5/3,2/2,1/3,-
2022,20/19,3/6,12/10,-,5/3,-
2021,28/29,9/13,4/5,13/7,2/3,0/1
2020,29/13,15/6,8/5,4/2,-,2/0
2019,45/29,14/12,9/7,14/7,6/2,2/1
2018,29/27,13/12,5/7,3/5,6/2,2/1
2017,32/28,20/10,7/11,2/3,1/2,2/2
2016,32/29,14/8,10/12,2/3,6/4,0/2
2015,37/33,14/14,17/10,3/4,2/3,1/2
2014,40/28,19/10,6/7,11/10,2/1,2/0
2013,54/17,30/7,18/2,5/5,1/1,0/2
2012,45/20,39/14,6/6,-,-,-
2011,24/15,19/10,5/3,0/2,-,-
2010,14/7,11/5,-,3/2,-,-
2009,3/6,3/4,-,0/2,-,-
