Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/10,2/1,11/5,0/1,-,8/3
2024,13/4,-,5/1,-,-,8/3
2023,7/5,2/1,5/3,0/1,-,-
2022,1/1,-,1/1,-,-,-
