Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,115/96,91/82,20/12,4/2,-,-
2024,2/2,2/2,-,-,-,-
2023,0/1,0/1,-,-,-,-
2021,1/1,1/1,-,-,-,-
2020,1/1,1/1,-,-,-,-
2019,4/5,4/5,-,-,-,-
2018,9/9,9/9,-,-,-,-
2017,20/16,15/13,1/1,4/2,-,-
2016,31/18,31/18,-,-,-,-
2015,22/16,8/8,14/8,-,-,-
2014,19/11,14/8,5/3,-,-,-
2013,4/7,4/7,-,-,-,-
2012,2/9,2/9,-,-,-,-
