Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.06.,Ozolins K.,2,,,,,,"['1', '0', '5', '2']","['2', '1']",[],[],[],1.76
25.06.,Jin J.,0,,,,,,[],[],[],[],[],1.95
12.11.2024,Banerjee S.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '4', '1']",[],[],[],1.19
12.11.2024,Jin J.,0,,,,,,[],"['3', '5']",[],[],[],4.23
12.06.2024,Kang K.,2,,,,,,[],"['3', '1', '6', '4']","['1', '1', '3', '3', '5', '3']",[],[],1.45
12.06.2024,Jin J.,1,,,,,,"['5', '3']","['4', '5']","['1', '0', '3', '2']",[],[],2.61
05.06.2024,Dickerson R.,2,,,,,,"['2', '1', '4', '3', '5', '4', '6', '5']","['2', '1']","['3', '1', '5', '1']",[],[],2.28
05.06.2024,Jin J.,1,,,,,,"['3', '3', '4', '4', '5', '5']","['3', '3', '5', '3']",[],[],[],1.59
10.01.2024,Cobolli F.,2,,,,,,1,2,52%,77% (20/26),67% (16/24),100% (2/2),52% (15/29),50% (11/22),67% (4/6),29,24,90% (9/10),72% (36/50),51% (26/51),61% (62/101),5,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0']","['1', '0', '3', '0']",[],[],[],1.10
10.01.2024,Jin J.,0,,,,,,2,2,57%,48% (14/29),50% (11/22),33% (2/6),23% (6/26),33% (8/24),0% (0/2),5,20,45% (5/11),49% (25/51),28% (14/50),39% (39/101),5,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],6.99
31.12.2023,Vavassori A.,2,,,,,,16,1,70%,78% (38/49),76% (16/21),67% (2/3),30% (17/56),41% (11/27),67% (2/3),77% (54/70),34% (28/83),54% (82/153),93% (13/14),14% (2/14),54% (15/28),[],"['2', '0']","['5', '4']",[],[],1.12
31.12.2023,Jin J.,1,,,,,,3,1,67%,70% (39/56),59% (16/27),33% (1/3),22% (11/49),24% (5/21),33% (1/3),66% (55/83),23% (16/70),46% (71/153),86% (12/14),7% (1/14),46% (13/28),"['4', '2']",[],[],[],[],5.80
08.11.2023,Koons H.,2,,,,,,"['4', '3']","['2', '1', '5', '2']",[],[],[],2.91
08.11.2023,Jin J.,0,,,,,,[],[],[],[],[],1.37
29.10.2023,Jin J.,2,,,,,,"['2', '0', '7', '5']","['2', '0']",[],[],[],2.74
29.10.2023,Corwin F.,0,,,,,,"['2', '3']",[],[],[],[],1.41
28.10.2023,Jin J.,2,,,,,,"['4', '2']","['1', '0', '3', '0']",[],[],[],2.91
28.10.2023,Maloney P.,0,,,,,,[],[],[],[],[],1.37
27.10.2023,Jin J.,2,,,,,,"['4', '2', '5', '3']","['2', '1', '4', '1']",[],[],[],2.91
27.10.2023,Donnet E.,0,,,,,,"['3', '4']",[],[],[],[],1.37
26.10.2023,Jin J.,2,,,,,,"['2', '0']","['2', '2', '4', '2', '6', '4']","['3', '1']",[],[],1.86
26.10.2023,Murgett F.,1,,,,,,"['1', '2', '3', '2', '5', '2']","['2', '1', '3', '4']",[],[],[],1.85
24.10.2023,Jin J.,2,,,,,,"['2', '0']","['1', '0', '4', '1']",[],[],[],1.34
24.10.2023,Pena E.,0,,,,,,[],[],[],[],[],3.04
14.07.2023,Mo Y. C.,2,,,,,,[],[],[],[],[],1.38
14.07.2023,Jin J.,1,,,,,,[],[],[],[],[],2.86
13.07.2023,Jin J.,2,,,,,,[],[],[],[],[],1.12
13.07.2023,Zhang L.,0,,,,,,[],[],[],[],[],5.47
12.07.2023,Jin J.,2,,,,,,[],[],[],[],[],1.32
12.07.2023,Berger A.,0,,,,,,[],[],[],[],[],3.15
07.07.2023,Lee D. H.,2,,,,,,[],[],[],[],[],1.40
07.07.2023,Jin J.,0,,,,,,[],[],[],[],[],2.78
06.07.2023,Jin J.,2,,,,,,[],[],[],[],[],1.69
06.07.2023,Trongcharoenchaikul W.,0,,,,,,[],[],[],[],[],2.05
05.07.2023,Jin J.,2,,,,,,[],[],[],[],[],1.44
05.07.2023,Wattanakul P.,0,,,,,,[],[],[],[],[],2.63
27.06.2023,Cui J.,2,,,,,,[],[],[],[],[],1.66
27.06.2023,Jin J.,1,,,,,,[],[],[],[],[],2.12
22.06.2023,Wang A.,2,,,,,,[],[],[],[],[],3.64
22.06.2023,Jin J.,0,,,,,,[],[],[],[],[],1.25
17.06.2023,Li Z.,2,,,,,,[],[],[],[],[],1.50
17.06.2023,Jin J.,0,,,,,,[],[],[],[],[],2.45
16.06.2023,Jin J.,2,,,,,,[],[],[],[],[],1.33
16.06.2023,Dong Z.,0,,,,,,[],[],[],[],[],3.10
15.06.2023,Jin J.,2,,,,,,[],[],[],[],[],1.37
15.06.2023,Tang S.,0,,,,,,[],[],[],[],[],2.91
14.06.2023,Jin J.,2,,,,,,[],[],[],[],[],1.53
14.06.2023,Wang C.,0,,,,,,[],[],[],[],[],2.38
