Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,44/56,8/17,36/39,-,-,-
2024,14/23,5/10,9/13,-,-,-
2023,19/21,0/2,19/19,-,-,-
2022,8/7,3/3,5/4,-,-,-
2021,3/3,-,3/3,-,-,-
2018,0/1,0/1,-,-,-,-
2017,0/1,0/1,-,-,-,-
