Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,47/55,22/25,16/16,9/14,-,-
2024,6/6,1/4,3/1,2/1,-,-
2023,23/23,14/8,4/6,5/9,-,-
2022,13/18,5/8,6/6,2/4,-,-
2021,5/6,2/5,3/1,-,-,-
2019,0/1,-,0/1,-,-,-
2018,0/1,-,0/1,-,-,-
