Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,461/333,416/296,34/24,11/9,0/4,-
2024,16/27,14/19,1/4,1/3,0/1,-
2023,25/29,25/24,0/3,-,0/2,-
2022,37/33,28/25,6/3,3/4,0/1,-
2021,81/23,60/18,21/5,-,-,-
2020,22/8,22/8,-,-,-,-
2019,11/5,11/5,-,-,-,-
2018,13/21,9/17,3/3,1/1,-,-
2017,29/29,29/27,0/2,-,-,-
2016,47/23,38/19,3/3,6/1,-,-
2015,47/24,47/23,0/1,-,-,-
2014,37/23,37/23,-,-,-,-
2013,16/21,16/21,-,-,-,-
2012,37/24,37/24,-,-,-,-
2011,20/14,20/14,-,-,-,-
2010,17/18,17/18,-,-,-,-
2009,6/8,6/8,-,-,-,-
2008,0/3,0/3,-,-,-,-
