Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,589/455,363/267,184/136,32/31,3/9,7/12
2024,37/25,22/18,8/5,7/2,-,-
2023,24/19,14/11,10/8,-,-,-
2022,25/25,19/18,4/3,0/3,1/1,1/0
2021,37/18,24/12,13/5,-,-,0/1
2020,20/12,1/3,18/8,1/1,-,-
2019,18/19,8/11,9/7,1/1,-,-
2018,12/28,11/19,1/5,0/1,0/1,0/2
2017,47/36,41/30,4/6,-,-,2/0
2016,48/34,42/19,2/8,3/4,0/1,1/2
2015,38/34,36/22,0/10,0/1,1/1,1/0
2014,46/33,32/20,6/3,7/7,1/1,0/2
2013,30/25,24/19,5/4,-,0/1,1/1
2012,39/34,31/22,7/8,1/2,0/1,0/1
2011,40/24,22/15,17/8,1/1,-,-
2010,50/25,18/12,28/11,4/1,0/1,-
2009,16/15,9/4,5/9,2/2,-,-
2008,29/27,4/6,22/16,3/3,-,0/2
2007,23/13,2/3,18/6,2/2,0/1,1/1
2006,10/9,3/3,7/6,-,-,-
