Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,325/168,282/147,28/16,7/4,-,8/1
2024,4/2,4/2,-,-,-,-
2023,50/39,31/30,12/7,2/2,-,5/0
2022,55/24,52/23,-,-,-,3/1
2021,47/22,47/22,-,-,-,-
2020,15/12,11/9,3/2,1/1,-,-
2019,38/12,27/8,11/4,-,-,-
2018,26/13,26/13,-,-,-,-
2017,8/9,8/9,-,-,-,-
2016,65/24,59/21,2/2,4/1,-,-
2015,5/2,5/2,-,-,-,-
2014,11/5,11/5,-,-,-,-
2013,1/4,1/3,0/1,-,-,-
