Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/27,4/5,19/22,-,-,-
2024,13/12,1/3,12/9,-,-,-
2023,8/11,3/2,5/9,-,-,-
2022,2/4,-,2/4,-,-,-
