Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,88/67,20/17,61/47,-,-,7/3
2024,10/11,5/4,5/7,-,-,-
2023,31/27,11/10,19/14,-,-,1/3
2022,21/14,4/2,11/12,-,-,6/0
2021,17/7,-,17/7,-,-,-
2020,0/1,0/1,-,-,-,-
2019,8/4,-,8/4,-,-,-
2018,1/1,-,1/1,-,-,-
2017,0/2,-,0/2,-,-,-
