Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,250/278,112/127,75/86,60/63,-,3/2
2024,10/6,6/4,-,4/2,-,-
2023,14/22,5/9,1/5,5/6,-,3/2
2022,9/8,5/5,1/1,3/2,-,-
2021,3/5,1/2,0/1,2/2,-,-
2020,4/5,2/4,-,2/1,-,-
2019,17/17,8/7,4/6,5/4,-,-
2018,14/13,8/9,2/2,4/2,-,-
2017,40/24,16/9,20/11,4/4,-,-
2016,20/18,7/7,12/10,1/1,-,-
2015,12/22,5/8,2/8,5/6,-,-
2014,17/33,9/16,5/10,3/7,-,-
2013,14/27,8/12,3/10,3/5,-,-
2012,25/25,8/10,5/7,12/8,-,-
2011,34/37,18/18,12/11,4/8,-,-
2010,17/13,6/7,8/3,3/3,-,-
2009,0/2,-,0/1,0/1,-,-
2008,0/1,-,-,0/1,-,-
