Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,504/327,355/192,95/79,38/42,8/9,8/5
2024,19/12,19/12,-,-,-,-
2023,28/14,17/13,9/1,-,-,2/0
2022,1/5,1/2,0/2,-,-,0/1
2021,24/29,16/15,5/5,3/8,0/1,-
2020,15/14,10/8,4/5,1/1,-,-
2019,42/27,19/10,18/12,4/3,1/1,0/1
2018,31/25,11/12,14/7,5/4,1/1,0/1
2017,41/29,30/16,8/8,3/5,-,-
2016,25/28,20/15,3/11,1/1,-,1/1
2015,37/32,15/12,15/13,2/4,3/3,2/0
2014,52/30,32/16,13/9,3/2,3/3,1/0
2013,43/19,33/11,6/6,3/1,-,1/1
2012,51/10,51/10,-,-,-,-
2011,14/8,13/6,-,1/2,-,-
2010,46/24,38/15,-,7/9,-,1/0
2009,30/16,25/14,-,5/2,-,-
2008,5/5,5/5,-,-,-,-
