Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES Hamburg (Germany) - Qualification,clay,header
17.05.,Rehberg M. H.,0,,,,,,2,5,63%,76% (32/42),32% (8/25),75% (6/8),23% (10/43),52% (14/27),0% (0/1),15,37,80% (4/5),60% (40/67),34% (24/70),47% (64/137),3,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
17.05.,Dutra Da Silva D.,2,,,,,,6,3,61%,77% (33/43),48% (13/27),100% (1/1),24% (10/42),68% (17/25),25% (2/8),21,28,75% (6/8),66% (46/70),40% (27/67),53% (73/137),7,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
ATP - SINGLES Munich (Germany) - Qualification,clay,header
12.04.,Rehberg M. H.,0,,,,,,1,6,53%,68% (17/25),32% (7/22),20% (1/5),16% (4/25),35% (7/20),0% (0/1),8,21,86% (6/7),52% (24/46),24% (11/45),38% (35/91),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],0
12.04.,Van De Zandschulp B.,2,,,,,,3,2,56%,84% (21/25),65% (13/20),100% (1/1),32% (8/25),68% (15/22),80% (4/5),17,20,89% (8/9),76% (34/45),48% (22/46),62% (56/91),7,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Naples (Italy),clay,header
27.03.,Rehberg M. H.,0,,,,,,0,1,78%,57% (31/54),67% (10/15),40% (2/5),16% (5/31),41% (13/32),25% (1/4),59% (41/69),29% (18/63),45% (59/132),2,0,73% (8/11),9% (1/11),41% (9/22),[],[],[],[],[],0
27.03.,Herbert P.,2,,,,,,3,5,49%,84% (26/31),59% (19/32),75% (3/4),43% (23/54),33% (5/15),60% (3/5),71% (45/63),41% (28/69),55% (73/132),8,0,91% (10/11),27% (3/11),59% (13/22),[],[],[],[],[],0
25.03.,Rehberg M. H.,2,,,,,,7,1,69%,70% (48/69),52% (16/31),80% (4/5),26% (14/54),50% (17/34),40% (2/5),64% (64/100),35% (31/88),51% (95/188),5,0,93% (13/14),14% (2/14),54% (15/28),[],[],[],[],[],0
25.03.,Seyboth Wild T.,1,,,,,,5,2,61%,74% (40/54),50% (17/34),60% (3/5),30% (21/69),48% (15/31),20% (1/5),65% (57/88),36% (36/100),49% (93/188),5,0,86% (12/14),7% (1/14),46% (13/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Zadar (Croatia),clay,header
17.03.,Rehberg M. H.,1,,,,,,1,0,74%,53% (40/76),33% (9/27),50% (8/16),43% (29/68),61% (11/18),45% (5/11),48% (49/103),47% (40/86),47% (89/189),3,0,38% (5/13),42% (5/12),40% (10/25),[],[],[],[],[],0
17.03.,Dalla Valle E.,2,,,,,,2,1,79%,57% (39/68),39% (7/18),55% (6/11),47% (36/76),67% (18/27),50% (8/16),53% (46/86),52% (54/103),53% (100/189),7,0,58% (7/12),62% (8/13),60% (15/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Thionville (France),hard,header
03.03.,Rehberg M. H.,0,,,,,,2,1,76%,71% (29/41),46% (6/13),50% (2/4),10% (4/39),55% (12/22),0% (0/0),65% (35/54),25% (15/60),45% (51/114),5,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],0
03.03.,Zhukayev B.,2,,,,,,16,1,64%,90% (35/39),45% (10/22),0% (0/0),29% (12/41),54% (7/13),50% (2/4),75% (45/60),35% (19/54),56% (64/114),5,0,100% (10/10),22% (2/9),63% (12/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Glasgow (United Kingdom),hard,header
22.02.,Rehberg M. H.,0,,,,,,1,3,69%,71% (30/42),42% (8/19),0% (0/2),21% (10/47),29% (5/17),33% (1/3),62% (38/61),23% (15/64),42% (53/125),3,1,55% (6/11),30% (3/10),43% (9/21),[],[],[],[],[],0
22.02.,Budkov Kjaer N.,2,,,,,,11,1,73%,79% (37/47),71% (12/17),67% (2/3),29% (12/42),58% (11/19),100% (2/2),77% (49/64),38% (23/61),58% (72/125),7,0,70% (7/10),45% (5/11),57% (12/21),[],[],[],[],[],0
21.02.,Rehberg M. H.,1,,,,,,6,1,73%,77% (47/61),55% (12/22),67% (2/3),23% (13/57),44% (11/25),33% (1/3),71% (59/83),29% (24/82),50% (83/165),8,0,93% (13/14),7% (1/14),50% (14/28),[],[],[],[],[],0
