Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,110/92,57/53,4/4,49/32,0/3,-
2024,39/22,25/14,-,14/6,0/2,-
2023,23/27,13/17,-,10/9,0/1,-
2022,38/27,15/15,4/4,19/8,-,-
2021,3/7,0/3,-,3/4,-,-
2020,6/8,4/4,-,2/4,-,-
2018,1/1,-,-,1/1,-,-
