Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/62,18/15,35/33,12/14,-,-
2024,19/24,6/8,11/13,2/3,-,-
2023,9/13,5/1,0/7,4/5,-,-
2022,15/7,0/1,14/4,1/2,-,-
2021,4/2,2/1,-,2/1,-,-
2020,1/2,1/2,-,-,-,-
2019,7/3,-,7/3,-,-,-
2018,6/5,4/2,2/3,-,-,-
2017,1/1,-,1/1,-,-,-
2016,3/5,-,0/2,3/3,-,-
