Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,41/64,25/40,16/24,-,-,-
2024,8/15,4/9,4/6,-,-,-
2023,22/25,13/12,9/13,-,-,-
2022,8/15,5/11,3/4,-,-,-
2021,3/7,3/6,0/1,-,-,-
2019,0/2,0/2,-,-,-,-
