Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Hua Hin 2 (Thailand),hard,header
20.05. 22:10,Siegemund L.,2,6,7^7,,,,0,2,70%,58% (26/45),32% (6/19),62% (8/13),58% (25/43),66% (21/32),50% (8/16),8,50% (32/64),61% (46/75),56% (78/139),7,44% (4/9),80% (8/10),63% (12/19),"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '3', '3', '4', '4', '5', '5']",[],[],[],1.48
20.05. 22:10,Blinkova A.,0,1,6^4,,,,1,5,57%,42% (18/43),34% (11/32),50% (8/16),42% (19/45),68% (13/19),38% (5/13),5,39% (29/75),50% (32/64),44% (61/139),3,20% (2/10),56% (5/9),37% (7/19),"['1', '1']","['1', '2', '3', '2', '4', '3', '5', '4']",[],[],[],2.68
WTA - SINGLES :  Rome (Italy),clay,header
10.05. 18:05,Siegemund L.,1,6,5,2,,,2,3,75%,52% (32/62),38% (8/21),27% (3/11),39% (19/49),56% (30/54),40% (6/15),9,48% (40/83),48% (49/103),48% (89/186),2,47% (7/15),40% (6/15),43% (13/30),"['1', '0', '4', '3']","['1', '0', '2', '1', '5', '2']","['2', '1']",[],[],1.69
10.05. 18:05,Yastremska D.,2,4,7,6,,,1,6,48%,61% (30/49),44% (24/54),60% (9/15),48% (30/62),62% (13/21),73% (8/11),7,52% (54/103),52% (43/83),52% (97/186),6,60% (9/15),53% (8/15),57% (17/30),"['3', '3']","['1', '1', '3', '5', '5', '5', '7', '5']","['2', '2', '4', '2', '6', '2']",[],[],2.21
09.05. 17:00,Siegemund L.,2,2,6,6,,,0,1,82%,56% (40/72),56% (9/16),40% (4/10),45% (35/77),79% (11/14),60% (6/10),9,56% (49/88),51% (46/91),53% (95/179),4,57% (8/14),43% (6/14),50% (14/28),"['2', '4']","['3', '3', '5', '3', '6', '4']","['4', '4', '6', '4']",[],[],1.83
09.05. 17:00,Carle M. L.,1,6,4,4,,,0,5,85%,55% (42/77),21% (3/14),40% (4/10),44% (32/72),44% (7/16),60% (6/10),6,49% (45/91),44% (39/88),47% (84/179),4,57% (8/14),43% (6/14),50% (14/28),"['1', '0', '3', '0', '5', '2']","['1', '0', '4', '5']","['3', '2']",[],[],1.83
WTA - SINGLES :  Rome (Italy) - Qualification,clay,header
07.05. 18:45,Siegemund L.,2,6,6,,,,0,1,77%,51% (33/65),68% (13/19),75% (12/16),45% (18/40),75% (15/20),60% (6/10),9,55% (46/84),55% (33/60),55% (79/144),4,60% (6/10),60% (6/10),60% (12/20),"['1', '0', '5', '4']","['1', '0', '2', '1', '3', '4', '5', '4']",[],[],[],1.78
07.05. 18:45,Riera J.,0,4,4,,,,0,4,67%,55% (22/40),25% (5/20),40% (4/10),49% (32/65),32% (6/19),25% (4/16),5,45% (27/60),45% (38/84),45% (65/144),3,40% (4/10),40% (4/10),40% (8/20),"['4', '4']","['1', '1', '2', '2', '4', '2']",[],[],[],2.04
