Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/52,43/50,-,-,-,3/2
2024,21/16,21/16,-,-,-,-
2023,11/11,8/9,-,-,-,3/2
2022,7/7,7/7,-,-,-,-
2021,6/8,6/8,-,-,-,-
2020,0/1,0/1,-,-,-,-
2017,1/5,1/5,-,-,-,-
2016,0/3,0/3,-,-,-,-
2013,0/1,0/1,-,-,-,-
