Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,11/12,-,7/6,0/1,-,4/5
2024,6/3,-,6/3,-,-,-
2023,4/8,-,0/2,0/1,-,4/5
2022,1/1,-,1/1,-,-,-
