Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,37/24,7/4,25/18,1/1,-,4/1
2024,5/3,-,5/3,-,-,-
2023,13/6,4/0,5/5,-,-,4/1
2022,3/3,-,3/3,-,-,-
2021,12/7,3/2,9/5,-,-,-
2020,2/2,0/1,2/1,-,-,-
2019,2/2,-,1/1,1/1,-,-
2018,0/1,0/1,-,-,-,-
