Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/45,9/12,14/33,-,-,-
2024,7/13,3/4,4/9,-,-,-
2023,8/9,6/5,2/4,-,-,-
2022,1/2,-,1/2,-,-,-
2021,1/5,-,1/5,-,-,-
2020,0/1,0/1,-,-,-,-
2019,3/4,-,3/4,-,-,-
2017,0/1,0/1,-,-,-,-
2016,2/8,0/1,2/7,-,-,-
2015,1/2,-,1/2,-,-,-
