Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,480/336,275/186,92/67,110/79,3/4,-
2024,16/24,11/16,0/2,5/6,-,-
2023,51/31,23/16,6/4,22/11,-,-
2022,24/22,9/13,5/5,10/4,-,-
2021,29/25,11/9,6/7,12/8,0/1,-
2020,20/19,7/7,4/7,9/5,-,-
2019,31/16,3/1,7/3,21/12,-,-
2018,42/29,17/14,22/8,3/7,-,-
2017,40/30,18/14,4/5,17/10,1/1,-
2016,36/31,30/24,3/5,2/1,1/1,-
2015,43/33,26/21,15/7,1/4,1/1,-
2014,67/22,62/18,5/4,-,-,-
2013,46/26,35/17,6/4,5/5,-,-
2012,22/17,13/11,7/3,2/3,-,-
2011,13/9,10/4,2/3,1/2,-,-
2010,0/2,0/1,-,0/1,-,-
