Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,Bertran P.,2,,,,,,"['2', '0', '3', '1', '4', '2', '7', '5']","['3', '1', '5', '3']","['2', '1', '4', '3']",[],[],1.84
26.03.,Lapadat J.,1,,,,,,"['1', '2', '2', '3', '4', '5']","['3', '4', '4', '5']","['3', '3']",[],[],1.86
19.03.,Brunclik P.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.45
19.03.,Lapadat J.,0,,,,,,[],"['1', '0']",[],[],[],2.62
16.03.,Rybakov A.,2,,,,,,"['1', '1', '4', '4']","['2', '0', '4', '2']","['1', '0', '6', '5']",[],[],1.20
16.03.,Lapadat J.,1,,,,,,"['1', '0', '2', '1', '5', '4']","['2', '3']","['1', '1']",[],[],4.18
15.03.,Lapadat J.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.29
15.03.,Flores J.,0,,,,,,"['3', '5']",[],[],[],[],3.32
14.03.,Lapadat J.,2,,,,,,[],"['2', '2', '4', '2']","['2', '1', '5', '2']",[],[],2.44
14.03.,De Jonge D.,1,,,,,,"['5', '4']","['1', '0']",[],[],[],1.50
13.03.,Lapadat J.,2,,,,,,"['1', '0', '4', '5']","['1', '0', '3', '0', '6', '1']","['2', '0', '4', '2', '6', '4']",[],[],1.56
13.03.,Bynoe E.,1,,,,,,"['2', '2', '4', '2', '6', '4']",[],"['1', '2', '4', '5']",[],[],2.30
11.03.,Lapadat J.,2,,,,,,"['1', '0', '3', '0', '6', '1']",[],"['4', '2', '5', '3']",[],[],2.81
11.03.,Kirchheimer S.,1,,,,,,[],"['1', '0', '3', '0']","['3', '4']",[],[],1.39
06.03.,Maloney P.,2,,,,,,"['3', '3', '5', '3', '6', '4']",[],"['1', '0', '6', '3']",[],[],1.12
06.03.,Lapadat J.,1,,,,,,"['2', '1', '4', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],5.30
05.03.,Lapadat J.,2,,,,,,"['1', '2', '3', '2']","['4', '3']",[],[],[],2.06
05.03.,Martin D.,0,,,,,,"['2', '0']",[],[],[],[],1.68
06.08.2024,Smith C.,2,,,,,,4,2,70%,86% (18/21),67% (6/9),0% (0/0),0 km/h,0 km/h,57% (13/23),79% (15/19),67% (6/9),80% (24/30),67% (28/42),72% (52/72),6,0,100% (6/6),100% (6/6),100% (12/12),"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.16
06.08.2024,Lapadat J.,0,,,,,,0,7,55%,43% (10/23),21% (4/19),33% (3/9),0 km/h,0 km/h,14% (3/21),33% (3/9),0% (0/0),33% (14/42),20% (6/30),28% (20/72),4,0,0% (0/6),0% (0/6),0% (0/12),[],[],[],[],[],4.88
29.07.2024,Pacheco Mendez R.,2,,,,,,7,4,57%,74% (23/31),52% (12/23),60% (3/5),29% (7/24),77% (17/22),83% (5/6),65% (35/54),52% (24/46),59% (59/100),6,0,78% (7/9),63% (5/8),71% (12/17),"['3', '1', '5', '1']","['1', '0', '3', '0', '4', '1']",[],[],[],1.10
29.07.2024,Lapadat J.,0,,,,,,1,3,52%,71% (17/24),23% (5/22),17% (1/6),26% (8/31),48% (11/23),40% (2/5),48% (22/46),35% (19/54),41% (41/100),4,0,38% (3/8),22% (2/9),29% (5/17),"['2', '5']","['1', '3']",[],[],[],6.01
