Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/105,44/82,21/21,1/2,-,-
2024,12/23,10/17,2/6,-,-,-
2023,17/29,9/22,8/6,0/1,-,-
2022,21/28,19/24,1/3,1/1,-,-
2021,15/22,6/19,9/3,-,-,-
2019,1/3,-,1/3,-,-,-
