Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Savannah (USA),clay,header
26.03. 02:35,Tomic B.,2,6,6^3,6,,,9,0,53%,76% (41/54),50% (24/48),83% (10/12),30% (17/56),58% (30/52),38% (5/13),64% (65/101),44% (47/108),54% (112/209),7,0,87% (13/15),36% (5/14),62% (18/29),[],[],[],[],[],2.40
26.03. 02:35,Mochizuki S.,1,1,7^7,4,,,2,9,52%,70% (39/56),42% (22/52),62% (8/13),24% (13/54),50% (24/48),17% (2/12),56% (61/108),36% (36/101),46% (97/209),3,0,64% (9/14),13% (2/15),38% (11/29),[],[],[],[],[],1.53
CHALLENGER MEN - SINGLES :  Merida (Mexico),clay,header
20.03. 02:40,Tomic B.,1,4,6,6^4,,,4,0,55%,73% (37/51),63% (26/41),60% (3/5),31% (22/71),40% (12/30),29% (2/7),68% (63/92),34% (34/101),50% (97/193),4,0,88% (14/16),13% (2/15),52% (16/31),[],[],[],[],[],1.79
20.03. 02:40,Olivo R.,2,6,3,7^7,,,3,3,70%,69% (49/71),60% (18/30),71% (5/7),27% (14/51),37% (15/41),40% (2/5),66% (67/101),32% (29/92),50% (96/193),6,0,87% (13/15),13% (2/16),48% (15/31),[],[],[],[],[],1.94
CHALLENGER MEN - SINGLES :  Kigali 2 (Rwanda),clay,header
04.03. 16:05,Tomic B.,0,4,6^9,,,,4,1,47%,65% (26/40),49% (22/45),50% (4/8),29% (15/52),55% (12/22),43% (3/7),56% (48/85),36% (27/74),47% (75/159),3,2,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],1.96
04.03. 16:05,Ionel N. D.,2,6,7^11,,,,5,4,70%,71% (37/52),45% (10/22),57% (4/7),35% (14/40),51% (23/45),50% (4/8),64% (47/74),44% (37/85),53% (84/159),7,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],1.77
CHALLENGER MEN - SINGLES :  Bengaluru (India),hard,header
27.02. 12:50,Tomic B.,1,7,4,4,,,6,3,57%,73% (43/59),49% (22/45),60% (6/10),32% (20/62),38% (13/34),50% (3/6),63% (65/104),34% (33/96),49% (98/200),5,0,75% (12/16),19% (3/16),47% (15/32),[],[],[],[],[],3.47
27.02. 12:50,Holt B.,2,5,6,6,,,9,2,65%,68% (42/62),62% (21/34),50% (3/6),27% (16/59),51% (23/45),40% (4/10),66% (63/96),38% (39/104),51% (102/200),5,0,81% (13/16),25% (4/16),53% (17/32),[],[],[],[],[],1.28
25.02. 12:45,Tomic B.,2,3,7^7,6,,,1,2,73%,75% (49/65),58% (14/24),60% (3/5),20% (11/54),40% (14/35),67% (2/3),71% (63/89),28% (25/89),49% (88/178),8,0,87% (13/15),13% (2/16),48% (15/31),[],[],[],[],[],2.73
25.02. 12:45,Simakin I.,1,6,6^4,4,,,11,4,61%,80% (43/54),60% (21/35),33% (1/3),25% (16/65),42% (10/24),40% (2/5),72% (64/89),29% (26/89),51% (90/178),2,0,88% (14/16),13% (2/15),52% (16/31),[],[],[],[],[],1.42
CHALLENGER MEN - SINGLES :  Pune (India),hard,header
20.02. 11:05,Tomic B.,1,6,3,3,,,11,2,57%,72% (36/50),43% (16/37),70% (7/10),22% (10/45),31% (8/26),100% (1/1),60% (52/87),25% (18/71),44% (70/158),4,2,79% (11/14),7% (1/14),43% (12/28),[],[],[],[],[],2.04
20.02. 11:05,Sultanov K.,2,4,6,6,,,6,0,63%,78% (35/45),69% (18/26),0% (0/1),28% (14/50),57% (21/37),30% (3/10),75% (53/71),40% (35/87),56% (88/158),6,0,93% (13/14),21% (3/14),57% (16/28),[],[],[],[],[],1.71
18.02. 11:05,Tomic B.,2,6,6,,,,9,1,65%,84% (26/31),59% (10/17),100% (5/5),50% (18/36),38% (3/8),67% (4/6),75% (36/48),48% (21/44),62% (57/92),5,0,100% (8/8),50% (4/8),75% (12/16),[],[],[],[],[],1.70
18.02. 11:05,Mejia N.,0,2,2,,,,1,0,82%,50% (18/36),63% (5/8),33% (2/6),16% (5/31),41% (7/17),0% (0/5),52% (23/44),25% (12/48),38% (35/92),5,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.06
CHALLENGER MEN - SINGLES :  Brisbane 2 (Australia),hard,header
04.02. 08:50,Tomic B.,1,2,6,2,,,3,0,68%,73% (36/49),39% (9/23),56% (5/9),26% (10/38),42% (14/33),100% (1/1),63% (45/72),34% (24/71),48% (69/143),2,1,69% (9/13),8% (1/12),40% (10/25),[],[],[],[],[],1.44
04.02. 08:50,Imamura M.,2,6,3,6,,,8,1,54%,74% (28/38),58% (19/33),0% (0/1),27% (13/49),61% (14/23),44% (4/9),66% (47/71),38% (27/72),52% (74/143),8,0,92% (11/12),31% (4/13),60% (15/25),[],[],[],[],[],2.66
CHALLENGER MEN - SINGLES :  Brisbane (Australia),hard,header
31.01. 06:35,Tomic B.,0,4,5,,,,8,2,64%,65% (35/54),42% (13/31),70% (7/10),17% (6/36),44% (12/27),33% (1/3),56% (48/85),29% (18/63),45% (66/148),3,0,73% (8/11),9% (1/11),41% (9/22),[],[],[],[],[],3.35
31.01. 06:35,Walton A.,2,6,7,,,,8,1,57%,83% (30/36),56% (15/27),67% (2/3),35% (19/54),58% (18/31),30% (3/10),71% (45/63),44% (37/85),55% (82/148),7,0,91% (10/11),27% (3/11),59% (13/22),[],[],[],[],[],1.30
29.01. 07:15,Tomic B.,2,6,6^6,7^7,,,17,2,67%,74% (55/74),56% (20/36),71% (5/7),22% (13/58),53% (26/49),33% (3/9),68% (75/110),36% (39/107),53% (114/217),7,0,88% (15/17),19% (3/16),55% (18/33),[],[],[],[],[],3.54
