Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,433/335,50/77,278/169,29/43,59/42,17/4
2024,37/21,12/6,25/14,-,0/1,-
2023,41/27,4/4,35/19,2/4,-,-
2022,26/12,2/4,24/7,-,0/1,-
2021,9/12,2/4,4/4,2/3,1/1,-
2020,8/7,-,7/5,1/2,-,-
2019,15/27,2/8,9/11,1/2,3/6,-
2018,33/18,7/3,14/7,2/3,10/5,-
2017,12/23,3/5,3/10,2/4,4/4,-
2016,30/24,2/6,19/14,-,7/3,2/1
2015,41/30,2/6,29/15,3/4,4/4,3/1
2014,27/19,1/4,17/8,6/4,3/3,-
2013,30/24,1/4,15/10,5/7,5/3,4/0
2012,29/27,7/9,16/10,2/3,0/4,4/1
2011,36/25,1/2,19/14,1/5,13/3,2/1
2010,33/17,2/6,20/6,2/2,7/3,2/0
2009,12/9,1/3,9/5,-,2/1,-
2008,14/13,1/3,13/10,-,-,-
