Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,93/71,66/51,20/11,2/4,-,5/5
2024,33/17,28/16,5/1,-,-,-
2023,34/23,17/15,12/4,2/2,-,3/2
2022,23/23,19/17,2/3,-,-,2/3
2021,3/8,2/3,1/3,0/2,-,-
