Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,531/440,359/269,141/123,30/45,1/3,-
2024,25/22,14/10,11/12,-,-,-
2023,92/29,40/11,48/15,4/3,-,-
2022,20/27,10/16,7/7,3/3,0/1,-
2021,22/34,14/27,8/6,0/1,-,-
2020,7/16,3/7,2/5,2/4,-,-
2019,26/41,12/13,10/19,3/8,1/1,-
2018,31/43,11/19,17/15,3/8,0/1,-
2017,84/43,81/38,3/5,-,-,-
2016,59/45,56/36,0/3,3/6,-,-
2015,41/44,32/27,3/8,6/9,-,-
2014,45/37,41/34,4/3,-,-,-
2013,54/31,29/14,19/14,6/3,-,-
2012,22/19,14/12,8/7,-,-,-
2011,3/7,2/3,1/4,-,-,-
2010,0/2,0/2,-,-,-,-
