Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
CHALLENGER MEN - SINGLES :  Nonthaburi (Thailand),hard,header
18.11.2024,Oliveira G.,2,4,6,7^13,,,17,4,67%,77% (60/78),41% (16/39),73% (8/11),29% (23/79),59% (27/46),43% (3/7),65% (76/117),40% (50/125),52% (126/242),6,3,81% (13/16),20% (3/15),52% (16/31),[],"['4', '2']","['1', '0', '6', '5']",[],[],1.23
18.11.2024,Baadi T.,1,6,3,6^11,,,14,10,63%,71% (56/79),41% (19/46),57% (4/7),23% (18/78),59% (23/39),27% (3/11),60% (75/125),35% (41/117),48% (116/242),4,3,80% (12/15),19% (3/16),48% (15/31),"['2', '1']",[],"['3', '3', '6', '6']",[],[],3.86
17.11.2024,Oliveira G.,2,6,6,,,,5,1,63%,81% (22/27),69% (11/16),100% (1/1),46% (12/26),55% (16/29),50% (4/8),77% (33/43),51% (28/55),62% (61/98),8,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '5', '1']","['3', '2', '5', '2']",[],[],[],0
17.11.2024,Lock C.,0,1,2,,,,2,6,47%,54% (14/26),45% (13/29),50% (4/8),19% (5/27),31% (5/16),0% (0/1),49% (27/55),23% (10/43),38% (37/98),2,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],0
CHALLENGER MEN - SINGLES :  Helsinki (Finland),hard,header
06.11.2024,Oliveira G.,0,3,0,,,,2,1,57%,56% (9/16),58% (7/12),0% (0/2),14% (2/14),43% (3/7),0% (0/0),57% (16/28),24% (5/21),43% (21/49),4,0,60% (3/5),0% (0/4),33% (3/9),[],[],[],[],[],3.26
06.11.2024,Nardi L.,1,6,0,,,,2,2,67%,86% (12/14),57% (4/7),0% (0/0),44% (7/16),42% (5/12),100% (2/2),76% (16/21),43% (12/28),57% (28/49),6,0,100% (4/4),40% (2/5),67% (6/9),"['3', '2', '6', '3']",[],[],[],[],1.31
CHALLENGER MEN - SINGLES :  Brazzaville (Republic of the Congo),clay,header
03.11.2024,Oliveira G.,2,6,6,,,,1,1,67%,70% (23/33),75% (12/16),33% (1/3),46% (24/52),56% (9/16),40% (4/10),71% (35/49),49% (33/68),58% (68/117),6,0,80% (8/10),44% (4/9),63% (12/19),"['2', '0', '6', '4']","['2', '0', '4', '2']",[],[],[],1.81
03.11.2024,Jianu F. C.,0,4,3,,,,4,1,76%,54% (28/52),44% (7/16),60% (6/10),30% (10/33),25% (4/16),67% (2/3),51% (35/68),29% (14/49),42% (49/117),4,0,56% (5/9),20% (2/10),37% (7/19),"['1', '2']","['2', '3']",[],[],[],1.92
