Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,424/416,111/120,284/261,25/25,0/4,4/6
2024,5/11,3/7,0/3,2/1,-,-
2023,28/23,12/8,6/11,10/4,-,-
2022,13/27,3/8,9/17,0/1,-,1/1
2021,10/13,0/3,10/10,-,-,-
2020,2/5,2/2,0/1,0/2,-,-
2019,30/21,12/4,15/17,-,-,3/0
2018,34/37,19/17,13/15,2/1,-,0/4
2017,36/32,14/9,22/20,0/2,-,0/1
2016,33/35,1/3,31/28,1/2,0/2,-
2015,30/31,6/10,24/19,0/2,-,-
2014,27/30,3/11,24/19,-,-,-
2013,33/33,4/6,23/21,6/4,0/2,-
2012,26/31,10/10,16/19,0/2,-,-
2011,35/16,6/4,27/10,2/2,-,-
2010,23/16,11/9,10/6,2/1,-,-
2009,25/22,4/8,21/14,-,-,-
2008,22/19,1/1,21/17,0/1,-,-
2007,12/11,-,12/11,-,-,-
2006,0/3,-,0/3,-,-,-
