Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,463/280,258/153,91/47,108/69,4/7,2/4
2024,43/31,33/22,1/1,9/8,-,-
2023,51/35,34/18,8/8,9/8,0/1,-
2022,28/13,9/5,5/2,12/5,2/1,-
2021,19/12,0/1,6/4,13/7,-,-
2020,13/10,5/4,-,8/6,-,-
2019,30/27,24/20,5/5,1/2,-,-
2018,37/22,28/13,3/3,5/4,1/2,-
2017,50/30,35/16,2/3,12/8,1/3,-
2016,48/24,32/16,2/2,12/5,-,2/1
2015,41/30,16/15,20/7,5/5,-,0/3
2014,47/17,19/10,20/6,8/1,-,-
2013,29/20,12/8,4/3,13/9,-,-
2012,22/7,6/3,15/3,1/1,-,-
2009,5/2,5/2,-,-,-,-
